DATE,BTC_OPEN,ETH_OPEN
2020-03-03,8909.0,231.81
2020-03-02,8531.55,217.73
2020-03-01,8527.17,217.48
2020-02-29,8695.0,226.85
2020-02-28,8818.99,227.55
2020-02-27,8789.23,223.85
2020-02-26,9318.25,246.78
2020-02-25,9659.13,265.57
2020-02-24,9936.96,274.64
2020-02-23,9653.45,261.62
2020-02-22,9679.2,265.21
2020-02-21,9597.94,257.16
2020-02-20,9599.3,258.6
2020-02-19,10159.91,282.62
2020-02-18,9693.36,267.8
2020-02-17,9919.6,259.06
2020-02-16,9907.48,264.76
2020-02-15,10341.09,285.44
2020-02-14,10231.59,268.51
2020-02-13,10329.17,265.77
2020-02-12,10222.69,236.74
2020-02-11,9846.82,223.23
2020-02-10,10155.5,228.66
2020-02-09,9893.33,223.17
2020-02-08,9815.22,223.5
2020-02-07,9770.62,213.19
2020-02-06,9609.61,203.72
2020-02-05,9194.56,188.94
2020-02-04,9296.35,189.82
2020-02-03,9334.57,188.47
2020-02-02,9385.38,183.68
2020-02-01,9351.06,179.98
2020-01-31,9513.1,184.72
2020-01-30,9304.27,173.84
2020-01-29,9383.17,175.8
2020-01-28,8910.59,170.03
2020-01-27,8614.72,167.92
2020-01-26,8342.55,160.39
2020-01-25,8441.25,162.64
2020-01-24,8405.69,162.8
2020-01-23,8683.45,168.07
2020-01-22,8735.77,169.48
2020-01-21,8642.96,166.86
2020-01-20,8704.18,166.81
2020-01-19,8916.54,174.11
2020-01-18,8912.82,169.93
2020-01-17,8724.53,164.09
2020-01-16,8825.81,166.31
2020-01-15,8815.81,165.81
2020-01-14,8108.03,143.55
2020-01-13,8182.7,146.54
2020-01-12,8022.57,142.54
2020-01-11,8194.15,144.87
2020-01-10,7821.52,137.83
2020-01-09,8052.34,140.6
2020-01-08,8150.73,142.87
2020-01-07,7756.35,144.18
2020-01-06,7359.67,135.42
2020-01-05,7352.47,134.17
2020-01-04,7344.84,134.55
2020-01-03,6965.97,127.21
2020-01-02,7201.56,130.67
2020-01-01,7193.74,129.14
2019-12-31,7247.3,131.62
2019-12-30,7388.0,134.41
2019-12-29,7312.4,128.1
2019-12-28,7252.84,126.29
2019-12-27,7203.9,125.72
2019-12-26,7204.73,125.15
2019-12-25,7261.88,127.76
2019-12-24,7319.38,127.91
2019-12-23,7495.0,132.03
2019-12-22,7134.4,127.03
2019-12-21,7188.9,128.22
2019-12-20,7152.25,128.14
2019-12-19,7276.5,132.71
2019-12-18,6619.33,121.98
2019-12-17,6895.7,132.75
2019-12-16,7118.25,142.52
2019-12-15,7063.74,141.85
2019-12-14,7254.9,144.83
2019-12-13,7197.4,144.88
2019-12-12,7210.27,143.33
2019-12-11,7224.05,145.51
2019-12-10,7342.43,147.38
2019-12-09,7509.04,150.45
2019-12-08,7488.28,147.11
2019-12-07,7527.6,148.5
2019-12-06,7389.37,147.96
2019-12-05,7187.9,145.3
2019-12-04,7291.5,147.26
2019-12-03,7304.89,148.87
2019-12-02,7393.85,150.81
2019-12-01,7541.48,151.63
2019-11-30,7741.47,154.46
2019-11-29,7418.36,150.8
2019-11-28,7508.9,152.49
2019-11-27,7154.9,147.49
2019-11-26,7107.69,145.61
2019-11-25,6889.01,140.09
2019-11-24,7310.92,151.67
2019-11-23,7265.7,149.58
2019-11-22,7630.42,161.08
2019-11-21,8096.8,174.71
2019-11-20,8129.41,175.78
2019-11-19,8190.3,178.42
2019-11-18,8502.2,183.81
2019-11-17,8490.8,182.47
2019-11-16,8471.0,180.08
2019-11-15,8653.74,184.84
2019-11-14,8775.51,188.18
2019-11-13,8827.51,187.13
2019-11-12,8735.8,185.03
2019-11-11,9033.96,189.01
2019-11-10,8807.79,184.89
2019-11-09,8776.0,183.87
2019-11-08,9213.69,186.7
2019-11-07,9342.3,191.08
2019-11-06,9309.57,188.81
2019-11-05,9390.77,185.72
2019-11-04,9197.62,181.67
2019-11-03,9289.28,182.85
2019-11-02,9222.16,182.92
2019-11-01,9141.9,182.13
2019-10-31,9157.05,183.18
2019-10-30,9409.43,190.86
2019-10-29,9212.05,181.53
2019-10-28,9525.42,184.11
2019-10-27,9230.62,179.48
2019-10-26,8656.99,181.4
2019-10-25,7415.0,160.13
2019-10-24,7465.13,162.37
2019-10-23,8022.15,171.16
2019-10-22,8199.04,173.99
2019-10-21,8221.12,174.85
2019-10-20,7952.26,171.64
2019-10-19,7949.73,172.69
2019-10-18,8072.71,177.1
2019-10-17,8000.03,174.45
2019-10-16,8163.16,180.43
2019-10-15,8345.09,186.4
2019-10-14,8281.87,181.1
2019-10-13,8301.78,179.64
2019-10-12,8235.85,180.25
2019-10-11,8556.34,191.09
2019-10-10,8557.65,192.69
2019-10-09,8168.3,180.56
2019-10-08,8188.97,179.88
2019-10-07,7862.0,170.4
2019-10-06,8123.71,176.17
2019-10-05,8135.76,175.45
2019-10-04,8214.26,174.63
2019-10-03,8357.9,180.21
2019-10-02,8299.9,175.88
2019-10-01,8280.47,180.55
2019-09-30,8049.35,169.32
2019-09-29,8205.9,174.0
2019-09-28,8166.61,173.4
2019-09-27,8037.41,165.67
2019-09-26,8433.33,169.61
2019-09-25,8501.53,165.83
2019-09-24,9697.2,200.94
2019-09-23,10028.28,211.15
2019-09-22,9984.53,215.32
2019-09-21,10163.24,218.5
2019-09-20,10243.92,220.0
2019-09-19,10164.36,210.01
2019-09-18,10187.81,207.96
2019-09-17,10258.2,197.56
2019-09-16,10295.88,189.39
2019-09-15,10336.6,188.25
2019-09-14,10344.79,181.02
2019-09-13,10394.19,180.78
2019-09-12,10158.13,178.36
2019-09-11,10114.97,180.06
2019-09-10,10309.55,180.58
2019-09-09,10394.76,181.54
2019-09-08,10464.39,177.83
2019-09-07,10301.66,169.28
2019-09-06,10567.45,174.19
2019-09-05,10558.4,173.77
2019-09-04,10568.01,178.09
2019-09-03,10346.19,178.14
2019-09-02,9724.73,170.55
2019-09-01,9591.2,171.72
2019-08-31,9579.88,168.28
2019-08-30,9485.99,168.93
2019-08-29,9740.1,173.25
2019-08-28,10182.12,187.23
2019-08-27,10373.47,188.75
2019-08-26,10136.98,186.86
2019-08-25,10120.02,190.53
2019-08-24,10383.75,193.65
2019-08-23,10103.61,190.7
2019-08-22,10134.37,187.28
2019-08-21,10747.13,196.55
2019-08-20,10915.76,202.14
2019-08-19,10315.0,194.32
2019-08-18,10214.13,185.61
2019-08-17,10349.64,184.82
2019-08-16,10311.39,188.11
2019-08-15,10052.18,187.11
2019-08-14,10885.79,209.46
2019-08-13,11387.07,211.71
2019-08-12,11539.27,216.02
2019-08-11,11318.0,206.81
2019-08-10,11872.05,210.64
2019-08-09,11985.13,221.11
2019-08-08,11954.01,226.25
2019-08-07,11490.34,226.51
2019-08-06,11816.22,233.37
2019-08-05,10936.97,221.87
2019-08-04,10814.35,221.38
2019-08-03,10524.01,217.39
2019-08-02,10373.0,216.82
2019-08-01,10074.99,218.24
2019-07-31,9579.0,210.06
2019-07-30,9512.99,211.18
2019-07-29,9530.14,211.15
2019-07-28,9469.68,207.63
2019-07-27,9824.55,219.07
2019-07-26,9881.18,218.89
2019-07-25,9761.78,216.67
2019-07-24,9868.88,212.53
2019-07-23,10344.18,217.32
2019-07-22,10582.13,226.21
2019-07-21,10750.05,228.08
2019-07-20,10512.16,220.35
2019-07-19,10622.75,225.78
2019-07-18,9666.9,210.11
2019-07-17,9403.62,198.73
2019-07-16,10836.9,228.27
2019-07-15,10187.72,226.1
2019-07-14,11384.47,269.25
2019-07-13,11755.15,274.57
2019-07-12,11337.19,268.5
2019-07-11,12116.93,289.14
2019-07-10,12560.61,307.94
2019-07-09,12260.11,312.29
2019-07-08,11415.17,305.23
2019-07-07,11265.41,288.3
2019-07-06,10966.5,287.32
2019-07-05,11160.95,283.37
2019-07-04,11933.0,301.08
2019-07-03,10836.18,291.41
2019-07-02,10623.97,295.11
2019-07-01,10838.64,292.47
2019-06-30,11917.38,318.07
2019-06-29,12411.32,311.84
2019-06-28,11307.52,298.24
2019-06-27,13101.49,339.64
